model;weight;capacity;consumption;charge dc;charge ac;distance
Renault ZOE;0,214;44,1;17,8;0;22;247,752809
Smart;0,168;17,6;17,3;0;4,6;101,734104
BMW i3,i3s;0,1294;42,2;15,3;49;11;275,8169935
VW GOLF;0,1114;35,8;15,3;40;7,2;233,9869281
Tesla Model 3;0,067;75;16,7;250;11;449,1017964
Tesla Model S;0,0604;100;20,8;145;17;480,7692308
NISSAN LEAF ;0,051762766;40;20,6;46;3,6;194,1747573
VW UP;0,0298;36,8;14,5;40;7,2;253,7931034
Hyundai IONIQ;0,0281;40,4;13,8;44;7,2;292,7536232
Hyundai Kona,Kauai;0,025;67,5;14,7;77;11;459,1836735
Tesla Model X;0,0191;75;20,8;120;17;360,5769231
Audi e-tron;0,0181;82;17,1;125;11;479,5321637
KIA SOUL;0,0128;67,1;14,2;77;7,2;472,5352113
Peugeot iOn;0,0108;16;17;40;3,7;94,11764706
C-ZERO;0,0103;16;13,5;40;7,4;118,5185185
NISSAN e-NV200;0,009521735;40;25,9;46;6,6;154,4401544
Mitsubishi i-MiEV;0,008;16;16,6;40;3,7;96,38554217
Jaguar I-PACE;0,0063;90;22,2;104;11;405,4054054
Mercedes B250e;0,0052;31;17,7;24;11;175,1412429
Opel Ampera-e;0,0045;65;16,5;55;7,2;393,9393939
Mini Cooper SE;0,0031;32,6;15,2;49;11;214,4736842
KIA Nitro;0,0026;67,1;15,9;77;7,2;422,0125786
Mercedes EQC 400;0,0023;85;22,3;112;7,4;381,1659193
Renault FLUENCE Z.E.;0,001;22;12;43;3,6;183,3333333
